,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.learning-words.progress.title-zero,Начинаем изучение!,Let's start studying!,Lass uns mit dem Lernen beginnen!,¡Comencemos a estudiar!,공부를 시작해 봅시다!,Commençons à étudier !,Vamos começar a estudar!,勉強を始めましょう！,Cominciamo a studiare!,我们开始学习吧！,มาเริ่มเรียนกันเลย!,Ayo mulai belajar!
ui.learning-words.progress.title-zero-ready,Готовы к старту!,Ready to go!,Bereit zu gehen!,¡Listo para ir!,출발 준비 완료!,Prêt à partir !,Pronto para ir!,出発準備完了！,Pronti a partire!,准备出发！,พร้อมไปแล้ว!,Siap berangkat!
ui.learning-words.progress.title-zero-lets-go,Давайте начнём!,Let's get started!,Lass uns anfangen!,¡Comencemos!,시작해 볼까요!,C'est parti !,Vamos começar!,さあ、始めましょう！,Cominciamo!,让我们开始吧！,มาเริ่มกันเลย!,Mari kita mulai!
ui.learning-words.progress.title-low,Хорошее начало!,Good start!,Guter Anfang!,¡Buen comienzo!,좋은 시작이에요!,Bon début !,Bom começo!,良いスタートです！,Buon inizio!,好的开始！,เริ่มต้นได้ดี!,Awal yang bagus!
ui.learning-words.progress.title-low-momentum,Набираем темп!,Let's pick up the pace!,Lasst uns das Tempo erhöhen!,¡Vamos a acelerar el ritmo!,속도를 높여보자!,Accélérons le rythme !,Vamos acelerar o ritmo!,ペースを上げましょう！,Acceleramo il passo!,让我们加快步伐吧！,เร่งฝีเท้ากันหน่อย!,"Ayo, kita percepat langkahnya!"
ui.learning-words.progress.title-low-progress,Прогресс есть!,There is progress!,Es gibt Fortschritte!,¡Hay progreso!,진전이 있네요!,Il y a du progrès !,Há progresso!,進歩があります!,C'è progresso!,有進步了！,มีความคืบหน้า!,Ada kemajuan!
ui.learning-words.progress.title-medium,Отличный прогресс!,Great progress!,Großartige Fortschritte!,¡Gran progreso!,큰 진전이에요!,De grands progrès !,Grande progresso!,素晴らしい進歩です！,Grandi progressi!,进步很大！,มีความก้าวหน้าอย่างมาก!,Kemajuan yang luar biasa!
ui.learning-words.progress.title-medium-halfway,На полпути!,Halfway!,Halb!,¡A medio camino!,중간 지점!,À mi-chemin !,Na metade do caminho!,半分まで来ました！,A metà strada!,半！,ครึ่งทางแล้ว!,Setengah jalan!
ui.learning-words.progress.title-medium-strong,Сильный результат!,Strong result!,Starkes Ergebnis!,¡Fuerte resultado!,훌륭한 결과입니다!,Un résultat solide !,Resultado forte!,素晴らしい結果です！,Ottimo risultato!,效果显著！,ผลลัพธ์อันแข็งแกร่ง!,Hasil yang kuat!
ui.learning-words.progress.title-high,Превосходно!,Perfect!,Perfekt!,¡Perfecto!,완벽한!,Parfait!,Perfeito!,完璧！,Perfetto!,完美的！,สมบูรณ์แบบ!,Sempurna!
ui.learning-words.progress.title-high-champion,Вы чемпион!,You are a champion!,Du bist ein Champion!,¡Eres un campeón!,당신은 챔피언이에요!,Tu es un champion !,Você é um campeão!,あなたはチャンピオンです！,Sei un campione!,你是冠军！,คุณเป็นแชมป์!,Anda seorang juara!
ui.learning-words.progress.title-high-amazing,Потрясающе!,Amazing!,Toll!,¡Asombroso!,놀라운!,Incroyable!,Incrível!,すばらしい！,Sorprendente!,惊人的！,อัศจรรย์!,Luar biasa!
ui.learning-words.progress.zero-start,Готовы начать свой путь обучения? Ваша цель сегодня — {1} слов!,Ready to start your learning journey? Your goal today is {1} words!,"Bereit, Ihre Lernreise zu beginnen? Ihr heutiges Ziel sind {1} Wörter!",¿Listo para empezar tu aprendizaje? ¡Tu objetivo hoy es {1} palabras!,학습 여정을 시작할 준비가 되셨나요? 오늘의 목표는 {1}단어입니다!,Prêt à commencer votre parcours d'apprentissage ? Votre objectif aujourd'hui est d'obtenir {1} mot !,Pronto para começar sua jornada de aprendizado? Sua meta hoje é {1} palavras!,学習を始める準備はできましたか? 今日の目標は {1} 語です!,Pronto a iniziare il tuo percorso di apprendimento? Il tuo obiettivo oggi è {1} parole!,准备好开始你的学习之旅了吗？你今天的目标是{1}个单词！,พร้อมที่จะเริ่มต้นการเรียนรู้ของคุณหรือยัง เป้าหมายของคุณวันนี้คือ {1} คำ!,Siap memulai perjalanan belajar Anda? Target Anda hari ini adalah {1} kata!
ui.learning-words.progress.zero-motivation,Каждый эксперт когда-то был новичком. Давайте выучим ваше первое слово сегодня!,Every expert was once a beginner. Let's learn your first word today!,Jeder Experte war einmal ein Anfänger. Lass uns heute dein erstes Wort lernen!,Todo experto fue alguna vez un principiante. ¡Aprendamos hoy tu primera palabra!,모든 전문가도 한때는 초보자였습니다. 오늘 첫 단어를 배워보세요!,Tout expert a un jour été débutant. Apprenons votre premier mot aujourd'hui !,Todo especialista já foi iniciante. Vamos aprender sua primeira palavra hoje!,どんなに上級者でも、最初は初心者でした。今日は最初の単語を学びましょう！,Ogni esperto è stato un principiante. Impariamo la tua prima parola oggi!,每个专家都曾是初学者。今天就让我们学习你的第一个单词吧！,ผู้เชี่ยวชาญทุกคนเคยเป็นมือใหม่มาก่อน มาเรียนรู้คำศัพท์แรกของคุณวันนี้กันเถอะ!,Setiap ahli dulunya adalah seorang pemula. Mari pelajari kata pertama Anda hari ini!
ui.learning-words.progress.zero-challenge,Вызов принят! Сегодня вас ждут {1} слов.,Challenge accepted! Today you will receive {1} words.,Herausforderung angenommen! Heute erhalten Sie {1} Wörter.,¡Desafío aceptado! Hoy recibirás {1} palabras.,도전을 수락했습니다! 오늘은 {1}개의 단어를 받게 됩니다.,Défi accepté ! Vous recevrez aujourd'hui {1} mots.,Desafio aceito! Hoje você receberá {1} palavras.,挑戦を受けます! 今日は {1} 語を受け取ります。,Sfida accettata! Oggi riceverai {1} parole.,接受挑战！今天您将收到{1}个单词。,ยอมรับคำท้า! วันนี้คุณจะได้รับ {1} คำ,Tantangan diterima! Hari ini Anda akan menerima {1} kata.
ui.learning-words.progress.low-encouragement,"Отличное начало! Вы выучили {0} слов сегодня, больше чем {2}% учащихся в это время.","Great start! You've learned {0} words today, more than {2}% of learners at this time.","Toller Start! Sie haben heute {0} Wörter gelernt, mehr als {2} % aller Lernenden zu diesem Zeitpunkt.","¡Buen comienzo! Has aprendido {0} palabras hoy, más del {2}% de los estudiantes en este momento.",좋은 시작입니다! 오늘 {0}개의 단어를 배웠습니다. 현재 학습자의 {2}%가 넘는 수준입니다.,"Bon début ! Vous avez appris {0} mots aujourd'hui, soit plus de {2} % des apprenants actuels.","Ótimo começo! Você aprendeu {0} palavras hoje, mais do que {2}% dos alunos até agora.",素晴らしいスタートです！今日は{0}語を学習しました。これは現時点で学習者の{2}%以上です。,"Ottimo inizio! Oggi hai imparato {0} parole, più del {2}% degli studenti in questo momento.",很棒的开始！你今天已经学习了 {0} 个单词，超过了同时学习的 {2}% 的学习者。,เริ่มต้นได้ยอดเยี่ยม! วันนี้คุณได้เรียนรู้คำศัพท์แล้ว {0} คำ ซึ่งมากกว่าผู้เรียน {2}% ในเวลานี้,"Awal yang bagus! Anda telah mempelajari {0} kata hari ini, lebih dari {2}% pelajar saat ini."
ui.learning-words.progress.low-momentum,"Набираем обороты! {0} слов изучено, осталось {1}. Вы опережаете {2}% пользователей.","Gaining momentum! {0} words learned, {1} remaining. You're ahead of {2}% of users.","Es geht voran! {0} Wörter gelernt, {1} verbleiben. Sie liegen vor {2} % der Benutzer.","¡Gana impulso! {0} palabras aprendidas, {1} restantes. Estás por delante del {2}% de los usuarios.",속도가 빨라지고 있습니다! {0}개의 단어를 배웠고 {1}개의 단어가 남았습니다. 사용자 수 {2}%보다 앞서 있습니다.,"Vous progressez ! {0} mots appris, {1} restant. Vous devancez {2} % des utilisateurs.","Ganhando força! {0} palavras aprendidas, {1} restantes. Você está à frente de {2}% dos usuários.",勢いづいています！学習語数は{0}語、残りは{1}語です。ユーザーの{2}%より進んでいます。,"Guadagnando slancio! {0} parole apprese, {1} rimanenti. Sei in vantaggio del {2}% degli utenti.",势头强劲！已学习 {0} 个单词，剩余 {1} 个。您领先于 {2}% 的用户。,กำลังได้รับแรงผลักดัน! เรียนรู้ไปแล้ว {0} คำ เหลืออีก {1} คำ คุณนำหน้าผู้ใช้ไปแล้ว {2}%,"Mendapatkan momentum! {0} kata dipelajari, {1} tersisa. Anda unggul dari {2}% pengguna."
ui.learning-words.progress.low-progress,"Хорошая работа! {0} слов выучено сегодня, вы превосходите {2}% участников.","Good job! {0} words learned today, you're ahead of {2}% of participants.","Gute Arbeit! Sie haben heute {0} Wörter gelernt, Sie liegen vor {2} % der Teilnehmer.","¡Buen trabajo! Con {0} palabras aprendidas hoy, estás por delante del {2}% de los participantes.",잘하셨습니다! 오늘 {0}개의 단어를 배웠습니다. 참여자 중 {2}%보다 앞서 있습니다.,"Bon travail ! {0} mots appris aujourd'hui, vous êtes en avance sur {2}% des participants.","Bom trabalho! {0} palavras aprendidas hoje, você está à frente de {2}% dos participantes.",よくできました！今日は{0}語を学習しました。参加者の{2}%より上です。,"Ottimo lavoro! Con {0} parole imparate oggi, sei in vantaggio rispetto al {2}% dei partecipanti.",做得好！今天学习了 {0} 个单词，你领先于 {2}% 的参与者。,ทำได้ดีมาก! เรียนรู้คำศัพท์ไปแล้ว {0} คำในวันนี้ คุณนำหน้าผู้เข้าร่วม {2}%,"Kerja bagus! {0} kata dipelajari hari ini, Anda unggul dari {2}% peserta lainnya."
ui.learning-words.progress.medium-halfway,"На полпути к цели! {0} слов освоено сегодня, вы обгоняете {2}% учащихся.","Halfway there! {0} words mastered today, ahead of {2}% of students.","Halbzeit geschafft! Heute {0} Wörter gemeistert, mehr als {2} % der Schüler.","¡A mitad de camino! {0} palabras dominadas hoy, por delante del {2}% de los estudiantes.","절반 정도 왔어요! 오늘 {0}개의 단어를 습득했고, 학생 중 {2}%가 앞섰습니다.","À mi-chemin ! {0} mots maîtrisés aujourd'hui, devant {2}% des étudiants.","Estou na metade do caminho! {0} palavras dominadas hoje, à frente de {2}% dos alunos.",半分まで来ました！今日は {0} 語を習得し、生徒の {2}% より上回りました。,"A metà strada! Oggi sono state imparate {0} parole, in anticipo rispetto al {2}% degli studenti.",已完成一半！今天掌握了 {0} 个单词，领先于 {2}% 的学生。,ไปได้ครึ่งทางแล้ว! วันนี้เรียนรู้คำศัพท์ได้ {0} คำ นำหน้านักเรียน {2}%,"Setengah jalan! {0} kata dikuasai hari ini, lebih maju dari {2}% siswa lainnya."
ui.learning-words.progress.medium-strong,"Сильный прогресс! Вы выучили {0} слов сегодня, лучше чем {2}% пользователей.","Great progress! You've learned {0} words today, better than {2}% of users.","Großartige Fortschritte! Sie haben heute {0} Wörter gelernt, besser als {2} % der Benutzer.","¡Gran progreso! Hoy has aprendido {0} palabras, mejor que el {2}% de los usuarios.",큰 진전입니다! 오늘 {0}개의 단어를 배웠습니다. 사용자의 {2}%보다 더 잘 배웠습니다.,"Excellents progrès ! Vous avez appris {0} mots aujourd'hui, soit mieux que {2} % des utilisateurs.","Ótimo progresso! Você aprendeu {0} palavras hoje, melhor que {2}% dos usuários.",素晴らしい進歩です！今日は{0}語を学習しました。これはユーザーの{2}%よりも優れています。,"Grandi progressi! Oggi hai imparato {0} parole, meglio del {2}% degli utenti.",进步很大！你今天学了 {0} 个单词，比 {2}% 的用户学得好。,ความคืบหน้าดีมาก! วันนี้คุณเรียนรู้คำศัพท์ไปแล้ว {0} คำ ดีกว่าผู้ใช้ {2}%,"Kemajuan yang hebat! Anda telah mempelajari {0} kata hari ini, lebih baik dari {2}% pengguna lainnya."
ui.learning-words.progress.medium-climbing,"Поднимаемся всё выше! {0} слов покорено сегодня, впереди {2}% участников.","We're climbing higher and higher! {0} words conquered today, {2}% of participants ahead.","Wir steigen immer höher! Heute {0} Wörter bewältigt, {2} % der Teilnehmer vorne.","¡Seguimos subiendo más y más alto! {0} palabras conquistadas hoy, {2}% de participantes por delante.","우리는 점점 더 높이 올라가고 있습니다! 오늘 {0}개의 단어를 정복했고, 참가자의 {2}%가 앞서 나갔습니다.","On monte toujours plus haut ! {0} mots conquis aujourd'hui, {2}% de participants en avance.","Estamos subindo cada vez mais! {0} palavras conquistadas hoje, {2}% dos participantes à frente.",どんどん高く登っています！今日は {0} 語を征服し、参加者の {2}% が先行しています。,"Stiamo salendo sempre più in alto! {0} parole conquistate oggi, {2}% dei partecipanti in vantaggio.",我们正在攀登更高的高峰！今天已征服 {0} 个单词，领先 {2}% 的参与者。,เรากำลังไต่สูงขึ้นเรื่อยๆ! วันนี้พิชิตคำได้ {0} คำ มีผู้เข้าร่วมนำหน้า {2}%,"Kita terus melaju semakin tinggi! {0} kata berhasil ditaklukkan hari ini, {2}% peserta unggul."
