GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
23b6e006-2c29-4f1a-83c7-68d5fce379dd,ui.word-practice.already-know,Уже знаю,Already known,Ich weiß es schon,Ya lo sé,나는 이미 알고있다,Je sais déjà,Eu já sei,私はすでに知っている,Lo so già,我已经知道了,ฉันรู้แล้ว,aku sudah tahu
f71c5fa3-389b-47a9-99f9-930c0e5cb19a,ui.word-practice.hide,Скрыть,Hide,Verstecken,Esconder,숨다,Cacher,Esconder,隠れる,Nascondere,隐藏,ซ่อน,Bersembunyi
a7193bec-677d-4c92-8d73-9b0be8aa0765,ui.word-practice.learn,Изучить,Study,Studie,Estudiar,공부하다,Étude,Estudar,勉強,Studio,学习,ศึกษา,Belajar
def62ed7-debc-42ca-966d-79b92bee8772,ui.word-practice.show-translation,Показать перевод,Show translation,Übersetzung anzeigen,Mostrar traducción,번역 보기,Afficher la traduction,Mostrar tradução,翻訳を表示,Mostra traduzione,显示翻译,แสดงการแปล,Tampilkan terjemahan
2928de8e-8965-4a51-bf3c-7412465dd582,ui.word-practice.new-words,Новые слова,New words,Neue Wörter,Nuevas palabras,새로운 단어,Nouveaux mots,Novas palavras,新しい単語,Nuove parole,新词,คำศัพท์ใหม่,Kata-kata baru
d4ade7e0-73f8-41e8-8da7-65edea849f15,ui.word-practice.review,Повторение,Review,Wiederholung,Repetición,되풀이,Répétition,Repetição,繰り返し,Ripetizione,重复,การทำซ้ำ,Pengulangan
dbab0ee1-8dd0-4550-971d-9f662c37240a,ui.word-practice.enter-translation,Введите перевод,Enter translation,Übersetzung eingeben,Introducir traducción,번역을 입력하세요,Entrer la traduction,Digite a tradução,翻訳を入力,Inserisci la traduzione,输入翻译,ป้อนคำแปล,Masukkan terjemahan
6b50c704-c152-44f1-826e-e15d899370cc,ui.word-practice.check,Проверить,Check,Überprüfen,Controlar,확인하다,Vérifier,Verificar,チェック,Controllo,查看,ตรวจสอบ,Memeriksa
805efa58-54e6-448f-8985-deeb9ca0436e,ui.word-practice.got-it,Запомнил!,Got it,Erinnert!,¡Recordado!,기억하세요!,Je me souviens !,Lembrado!,思い出した！,Ricordato!,记住了！,จำได้แล้ว!,Diingat!
590e57a9-d2c6-4d2c-80ed-b206449f3a8f,ui.word-practice.missed-it,Не запомнил,Missed it,Ich konnte mich nicht erinnern,No me acordaba,나는 기억하지 못했다,Je ne m'en souvenais pas,Eu não me lembrava,覚えてなかった,Non mi ricordavo,我不记得了,ฉันจำไม่ได้,aku tidak ingat
4fab01cc-c70c-4c37-8b9d-e3b6c8067206,ui.word-practice.exit,Выйти,Exit,Ausfahrt,Salida,출구,Sortie,Saída,出口,Uscita,出口,ทางออก,KELUAR
2c10789c-a95d-48cd-81ec-2e2f2d1fb1e0,ui.word-practice.review.add-more,"Добавить больше
новых слов",Add more new words,Fügen Sie weitere neue Wörter hinzu,Añadir más palabras nuevas,새로운 단어를 더 추가하세요,Ajoutez plus de nouveaux mots,Adicione mais palavras novas,新しい単語を追加する,Aggiungi altre nuove parole,添加更多新词,เพิ่มคำใหม่ๆ เพิ่มเติม,Tambahkan lebih banyak kata baru
f6b722a9-e815-4d5e-8d6f-4d8ad623c7e4,ui.word-practice.new-words.add-more-words,Добавить больше слов,Add more words,Weitere Wörter hinzufügen,Añade más palabras,더 많은 단어를 추가하세요,Ajouter plus de mots,Adicione mais palavras,単語を追加する,Aggiungi altre parole,添加更多单词,เพิ่มคำเพิ่มเติม,Tambahkan lebih banyak kata
8cffc032-bbbf-42f9-804b-8f69f870a9ff,ui.word-practice.review.repeat-words,Повторять слова,Repeat words,Wörter wiederholen,Repetir palabras,단어 반복,Répéter les mots,Repita palavras,単語を繰り返す,Ripeti le parole,重复单词,การทวนคำ,Ulangi kata-kata
fb742cb6-40d0-4a44-a0a4-76a9cbe59ee5,ui.word-practice.learn-count,"Слова в выбранных категориях закончились. 
Выбери больше категорий!","There are no more words in the selected categories.
Select more categories!","In den ausgewählten Kategorien sind keine weiteren Wörter vorhanden.
Wählen Sie weitere Kategorien aus!","No hay más palabras en las categorías seleccionadas.
¡Selecciona más categorías!","선택한 카테고리에 더 이상 단어가 없습니다.
더 많은 카테고리를 선택하세요!","Il n'y a plus de mots dans les catégories sélectionnées.
Sélectionnez d'autres catégories !","Não há mais palavras nas categorias selecionadas.
Selecione mais categorias!","選択したカテゴリにはこれ以上の単語がありません。 
カテゴリをさらに選択してください。","Non ci sono più parole nelle categorie selezionate.
Seleziona altre categorie!","所选类别中没有其他单词。 
请选择更多类别！","ไม่มีคำเพิ่มเติมในหมวดหมู่ที่เลือก
เลือกหมวดหมู่เพิ่มเติม!","Tidak ada lagi kata dalam kategori yang dipilih.
Pilih lebih banyak kategori!"
cbb14d25-4f2c-4473-9323-d68c081ef91c,ui.word-practice.new-words.no-words,"Слова в выбранных категориях закончились. 
Выбери больше категорий!","There are no more words in the selected categories.
Select more categories!","In den ausgewählten Kategorien sind keine weiteren Wörter vorhanden.
Wählen Sie weitere Kategorien aus!","No hay más palabras en las categorías seleccionadas.
¡Selecciona más categorías!","선택한 카테고리에 더 이상 단어가 없습니다.
더 많은 카테고리를 선택하세요!","Il n'y a plus de mots dans les catégories sélectionnées.
Sélectionnez d'autres catégories !","Não há mais palavras nas categorias selecionadas.
Selecione mais categorias!","選択したカテゴリにはこれ以上の単語がありません。 
カテゴリをさらに選択してください。","Non ci sono più parole nelle categorie selezionate.
Seleziona altre categorie!","所选类别中没有其他单词。 
请选择更多类别！","ไม่มีคำเพิ่มเติมในหมวดหมู่ที่เลือก
เลือกหมวดหมู่เพิ่มเติม!","Tidak ada lagi kata dalam kategori yang dipilih.
Pilih lebih banyak kategori!"
bfe2b9dc-3ad3-4ac3-86f6-ebc39882ffd7,ui.word-practice.new-words.complete,"Хорошая работа!
Сегодня ты выучил {0} слов!","Good job!
You learned {0} words today!","Gut gemacht!
Du hast heute {0} Wörter gelernt!","¡Buen trabajo!
¡Aprendiste {0} palabras hoy!","잘하셨어요!
오늘 {0}개의 단어를 배웠습니다!",Bravo ! Vous avez appris {0} mots aujourd'hui !,"Bom trabalho!
Você aprendeu {0} palavras hoje!","よくできました！ 
今日は{0}語を学びました！","Ottimo lavoro!
Hai imparato {0} parole oggi!","干得好！ 
你今天学了 {0} 个单词！","เยี่ยมมาก!
วันนี้คุณได้เรียนรู้คำศัพท์ {0} คำ!","Kerja bagus!
Kamu belajar {0} kata hari ini!"
949522b9-5953-4323-bc60-9e8e5fec7427,ui.word-practice.review.no-words,"Слов для потворения не осталось.
Пожалуйста добавьте больше категорий","There are no words left for consolation.
Please add more categories.","Mir fehlen die Worte zum Trost.
Bitte fügen Sie weitere Kategorien hinzu.","No quedan palabras de consuelo.
Por favor, añadan más categorías.","위로할 말이 더 이상 없습니다.
카테고리를 더 추가해 주세요.",Il ne reste plus de mots pour vous consoler. Veuillez ajouter d'autres catégories.,"Não há mais palavras para consolar.
Por favor, adicione mais categorias.","慰めの言葉も残っていません。 
カテゴリーをもっと追加してください。","Non ci sono più parole per consolarti.
Aggiungi altre categorie.","我已经无话可说来安慰了。 
请添加更多类别。","ไม่มีคำปลอบใจเหลือแล้ว
กรุณาเพิ่มหมวดหมู่เพิ่มเติม","Tak ada kata-kata yang tersisa untuk menghibur.
Silakan tambahkan lebih banyak kategori."
ac59cf8e-e4cf-44dd-b7ea-d0ca35f83519,ui.word-practice.review.complete,"Слова будут доступны для
 повторения через {0}",The words will be available for repeating in {0},Die Wörter stehen zum Wiederholen in {0} zur Verfügung.,Las palabras estarán disponibles para repetirse en {0},해당 단어는 {0}에서 반복해서 사용할 수 있습니다.,Les mots seront disponibles pour être répétés dans {0},As palavras estarão disponíveis para repetição em {0},単語は{0}で繰り返し使用できます,Le parole saranno disponibili per la ripetizione in {0},这些单词将在 {0} 中重复,คำเหล่านี้จะพร้อมให้ทำซ้ำได้ใน {0},Kata-kata akan tersedia untuk diulang di {0}
100c1bc6-9dd6-404a-851a-f24cf9dfd646,ui.word-practice.new-words.choose-categories,Выбрать категории,Select categories,Kategorien auswählen,Seleccionar categorías,카테고리 선택,Sélectionnez les catégories,Selecione categorias,カテゴリを選択,Seleziona le categorie,选择类别,เลือกหมวดหมู่,Pilih kategori
e906b191-dfed-4022-ae8e-c0174ffdc180,ui.word-practice.new-words.without-categories,Продолжить без выбора,Continue without choosing,Fortfahren ohne Auswahl,Continuar sin elegir,선택하지 않고 계속,Continuer sans choisir,Continuar sem escolher,選択せずに続行,Continua senza scegliere,继续而不选择,ดำเนินการต่อโดยไม่เลือก,Lanjutkan tanpa memilih
349c084e-b180-4f00-8d0b-64fddbbb3a93,ui.word-practice.review.come-back,Вернуться позже,Come back later,Kommen Sie später wieder,Vuelve más tarde,나중에 다시 오세요,Revenez plus tard,Volte mais tarde,後でまた来てください,Torna più tardi,稍后再回来,กลับมาใหม่ภายหลัง,Kembali lagi nanti
9f9ed2a7-a8cb-4224-bcbc-07857c00fac8,ui.word-practice.review.learn-new-words,Учить новые слова,Learn new words,Neue Wörter lernen,Aprende nuevas palabras,새로운 단어를 배우세요,Apprendre de nouveaux mots,Aprenda novas palavras,新しい単語を学ぶ,Impara nuove parole,学习新单词,เรียนรู้คำศัพท์ใหม่ ๆ,Pelajari kata-kata baru
c0ea8ca4-d285-4c68-b80a-cceb1eb52505,ui.word-practice.show-word-info,Показать полную карточку слова,Show the full word card,Vollständige Wortkarte anzeigen,Mostrar la tarjeta con la palabra completa,전체 단어 카드를 보여주세요,Afficher la carte du mot complet,Mostrar o cartão de palavras completo,完全な単語カードを表示,Mostra la scheda con la parola completa,显示完整的单词卡,แสดงบัตรคำเต็ม,Tunjukkan kartu kata lengkapnya
8c4ab491-4131-46f9-9235-61d5bc56020b,ui.word-practice.edit,Редактировать,Edit,Bearbeiten,Editar,편집하다,Modifier,Editar,編集,Modificare,编辑,แก้ไข,Sunting
ad5f845b-cbb2-47c0-b362-2498a853cec7,ui.word-practice.save-into,Сохранить в другую категорию,Save to another category,In einer anderen Kategorie speichern,Guardar en otra categoría,다른 카테고리에 저장,Enregistrer dans une autre catégorie,Salvar em outra categoria,別のカテゴリに保存,Salva in un'altra categoria,保存至其他类别,บันทึกไปยังหมวดหมู่อื่น,Simpan ke kategori lain
d92d83b3-bd59-4f9d-b247-4208810af2d8,ui.word-practice.remove-from,Убрать из подборки,Remove from selection,Aus Auswahl entfernen,Eliminar de la selección,선택에서 제거,Supprimer de la sélection,Remover da seleção,選択から削除,Rimuovi dalla selezione,从选择中删除,ลบออกจากการเลือก,Hapus dari pilihan
