GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
1562cf17-71cd-4d1f-959d-7773a7d9ac76,ui.category.category-search,Поиск категории,Search category,Suchkategorie,Categoría de búsqueda,카테고리 검색,Catégorie de recherche,Pesquisar categoria,検索カテゴリ,Cerca categoria,搜索类别,ค้นหาหมวดหมู่,Kategori pencarian
db6dc704-0d46-4f35-b290-e69c5687554f,ui.category.title,Каталог категорий,Category catalog,Kategorienkatalog,Catálogo de categorías,카테고리 카탈로그,Catalogue de catégories,Catálogo de categorias,カテゴリカタログ,Catalogo delle categorie,类别目录,แคตตาล็อกหมวดหมู่,Katalog kategori
4ca97ae2-a232-4efc-8ec7-1a7c9f2f07fb,ui.category.category-progress,{0} слов - {1}%,{0} words - {1}%,{0} Wörter - {1} %,{0} palabras - {1}%,{0} 단어 - {1}%,{0} mots - {1}%,{0} palavras - {1}%,{0} 語 - {1}%,{0} parole - {1}%,{0} 个字 - {1}%,{0} คำ - {1}%,{0} kata - {1}%
a85f27d7-43af-497a-a25b-788ab6740e01,ui.category.create-category,Создать категорию,Create a category,Erstellen einer Kategorie,Crear una categoría,카테고리 만들기,Créer une catégorie,Criar uma categoria,カテゴリーを作成する,Crea una categoria,创建类别,สร้างหมวดหมู่,Buat kategori
acebfc7f-6547-4510-a04b-a97f625b4e22,ui.category.add-category,Добавить категорию,Add category,Kategorie hinzufügen,Añadir categoría,카테고리 추가,Ajouter une catégorie,Adicionar categoria,カテゴリを追加,Aggiungi categoria,添加类别,เพิ่มหมวดหมู่,Tambahkan kategori
512f4720-8eb1-4cbb-ba01-cde96f5559cc,ui.category.selected,Выбранные категории,Selected categories,Ausgewählte Kategorien,Categorías seleccionadas,선택된 카테고리,Catégories sélectionnées,Categorias selecionadas,選択したカテゴリ,Categorie selezionate,选定类别,หมวดหมู่ที่เลือก,Kategori terpilih
f1a0bc3e-8127-40e8-b76d-eecdca2e5a42,ui.category.created,Созданные категории,Created categories,Erstellte Kategorien,Categorías creadas,카테고리 생성됨,Catégories créées,Categorias criadas,作成されたカテゴリ,Categorie create,创建类别,สร้างหมวดหมู่,Kategori yang dibuat
fb1c4ccb-ae3b-4782-a50b-4e17d197be11,ui.category.default,Категории,Categories,Kategorien,Categorías,카테고리,Catégories,Categorias,カテゴリー,Categorie,类别,หมวดหมู่,Kategori
773d0b24-6a57-4450-9e4d-c792856a68a8,ui.category.load-category,Загрузить категорию,Load category,Belastungskategorie,Categoría de carga,부하 범주,Catégorie de charge,Categoria de carga,負荷カテゴリ,Categoria di carico,负载类别,โหลดหมวดหมู่,Kategori beban
db0d9245-ce17-4aee-a126-da9fcf267adb,ui.category.select-icon,Выберите иконку,Select an icon,Wählen Sie ein Symbol,Seleccione un icono,아이콘을 선택하세요,Sélectionnez une icône,Selecione um ícone,アイコンを選択,Seleziona un'icona,选择一个图标,เลือกไอคอน,Pilih ikon
