GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
d5e58d25-db8d-4d8c-91d9-7299f37cb376,ui.monday,Пн,Mo,Mo,Lu,월,Lu,Se,月,Lu,一,จ,Se
ebad97f4-94d4-4203-932f-16e0adf74cf6,ui.tuesday,Вт,Tu,Di,Ma,화,Ma,Te,火,Ma,二,อ,Se
65fb15ce-8731-4968-9ac1-70d29f2dbbeb,ui.wednesday,Ср,We,Mi,Mi,수,Me,Qu,水,Me,三,พ,Ra
da10f796-4005-4701-a20d-629fc11492ba,ui.thursday,Чт,Th,Do,Ju,목,Je,Qu,木,Gi,四,พฤ,Ka
52262e35-e5eb-4a6d-a3b1-1fcdc98a0faf,ui.friday,Пт,Fr,Fr,Vi,금,Ve,Se,金,Ve,五,ศ,Ju
16edcb0b-a9c6-4987-ab8e-3666cc3e9c81,ui.saturday,Сб,Sa,Sa,Sa,토,Sa,Sa,土,Sa,六,ส,Sa
1557a8ba-236e-4598-a9df-45addeb8666c,ui.sunday,Вс,Su,So,Do,일,Di,Do,日,Do,日,อา,Mi
18f32112-d1f0-4714-acda-8f27b285a18a,ui.minutes.singular,{0} минута,{0} minute,{0} Minute,{0} minuto,{0} 분,{0} minute,{0} minuto,{0} 分,{0} minuto,{0} 分钟,{0} นาที,{0} menit
6717d9c0-b61f-4151-974b-73c633124839,ui.minutes.few,{0} минуты,{0} minutes,{0} Minuten,{0} minutos,{0} 분,{0} minutes,{0} minutos,{0} 分,{0} minuti,{0} 分钟,{0} นาที,{0} menit
8f268d1c-e534-461c-8e4f-19ff0dafd02c,ui.minutes.many,{0} минут,{0} minutes,{0} Minuten,{0} minutos,{0} 분,{0} minutes,{0} minutos,{0} 分,{0} minuti,{0} 分钟,{0} นาที,{0} menit
88aa9e18-27ba-4ae0-9cce-f2395dd95dd2,ui.hours.singular,{0} час,{0} hour,{0} Stunde,{0} hora,{0} 시간,{0} heure,{0} hora,{0} 時間,{0} ora,{0} 小时,{0} ชั่วโมง,{0} jam
6d86a8fa-75de-438f-acac-58e0a3b35c06,ui.hours.few,{0} часа,{0} hours,{0} Stunden,{0} horas,{0} 시간,{0} heures,{0} horas,{0} 時間,{0} ore,{0} 小时,{0} ชั่วโมง,{0} jam
9806d3b4-d785-45f5-9abd-c4c74f2321e5,ui.hours.many,{0} часов,{0} hours,{0} Stunden,{0} horas,{0} 시간,{0} heures,{0} horas,{0} 時間,{0} ore,{0} 小时,{0} ชั่วโมง,{0} jam
25a751d9-78f0-4c37-a80d-0016cf5e3a12,ui.days.singular,{0} день,{0} day,{0} Tag,{0} día,{0} 일,{0} jour,{0} dia,{0} 日,{0} giorno,{0} 天,{0} วัน,{0} hari
769ef600-8c01-4bdc-acab-286bf58f3991,ui.days.few,{0} дня,{0} days,{0} Tage,{0} días,{0} 일,{0} jours,{0} dias,{0} 日,{0} giorni,{0} 天,{0} วัน,{0} hari
f43e9e68-a7f0-4f62-b345-34766ffda635,ui.days.many,{0} дней,{0} days,{0} Tage,{0} días,{0} 일,{0} jours,{0} dias,{0} 日,{0} giorni,{0} 天,{0} วัน,{0} hari
6ffd04f1-73c5-4bc4-b2d8-4fd8118ee5dd,ui.weeks.singular,{0} неделя,{0} week,{0} Woche,{0} semana,{0} 주,{0} semaine,{0} semana,{0} 週,{0} settimana,{0} 周,{0} สัปดาห์,{0} minggu
b6ee96bf-5998-4210-b47b-16a5f70603c7,ui.weeks.few,{0} недели,{0} weeks,{0} Wochen,{0} semanas,{0} 주,{0} semaines,{0} semanas,{0} 週,{0} settimane,{0} 周,{0} สัปดาห์,{0} minggu
723fb573-af71-46ce-910c-449f592f76d1,ui.weeks.many,{0} недель,{0} weeks,{0} Wochen,{0} semanas,{0} 주,{0} semaines,{0} semanas,{0} 週,{0} settimane,{0} 周,{0} สัปดาห์,{0} minggu
6b5111a6-362e-4d0e-8aab-2ac0bde528e0,ui.months.singular,{0} месяц,{0} month,{0} Monat,{0} mes,{0} 개월,{0} mois,{0} mês,{0} 月,{0} mese,{0} 月,{0} เดือน,{0} bulan
79a0c17f-7648-49f6-81f6-c9560869e7bc,ui.months.few,{0} месяца,{0} months,{0} Monate,{0} meses,{0} 개월,{0} mois,{0} meses,{0} 月,{0} mesi,{0} 月,{0} เดือน,{0} bulan
c9675e84-8009-4037-b56f-f76d9d992f2c,ui.months.many,{0} месяцев,{0} months,{0} Monate,{0} meses,{0} 개월,{0} mois,{0} meses,{0} 月,{0} mesi,{0} 月,{0} เดือน,{0} bulan
b9676b8b-cdf1-4375-9a76-aeb925ef3934,ui.years.singular,{0} год,{0} year,{0} Jahr,{0} año,{0} 년,{0} année,{0} ano,{0} 年,{0} anno,{0} 年,{0} ปี,{0} tahun
711eee2c-3b5f-48a6-9840-8d1cea874021,ui.years.few,{0} года,{0} years,{0} Jahre,{0} años,{0} 년,{0} années,{0} anos,{0} 年,{0} anni,{0} 年,{0} ปี,{0} tahun
d4593049-194f-4308-9c44-b4bcc55a549a,ui.years.many,{0} лет,{0} years,{0} Jahre,{0} años,{0} 년,{0} années,{0} anos,{0} 年,{0} anni,{0} 年,{0} ปี,{0} tahun
