GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
39940677-c2e2-4b97-b32f-d33c5f65554d,ui.achievements.achievement-progress.learned-words,"Слов
выучено","Words
learned","Wörter
gelernt",Palabras aprendidas,배운 단어,"Mots
appris","Palavras
aprendidas",学んだ単語,"Parole
imparate",学到的单词,"คำศัพท์
ที่เรียนรู้","Kata-kata
dipelajari"
b0b62c7c-e16e-45c8-86ba-b586ecf60727,ui.achievements.achievement-progress.best-streak,"Лучшая
серия","Best
streak","Beste
Serie",Mejor serie,"최고의
시리즈","Meilleure
série","Melhor
série",ベストシリーズ,"La migliore
serie","最佳
系列",ซีรีส์ที่ดีที่สุด,"Seri
terbaik"
e92d56af-96b8-4f10-bb3e-d4299ed26b7e,ui.achievements.achievement-progress.current-streak,"Текущая
серия","Current
streak","Aktuelle
Serie","Serie
actual","현재
시리즈","Séries
actuelles",Série atual,"現在の
シリーズ","Serie
attuale","当前
系列",ซีรีส์ปัจจุบัน,"Seri
saat ini"
826c699d-89b6-427f-a979-299f3dab04e7,ui.achievements.learning-stats.already-known,Уже известно: {0},Already known: {0},Bereits bekannt: {0},Ya conocido: {0},이미 알려진 것: {0},Déjà connu : {0},Já conhecido: {0},すでに知られています: {0},Già noto: {0},已知： {0},ทราบแล้ว: {0},Sudah diketahui: {0}
c952b18a-8002-4770-b699-0071e858e392,ui.achievements.learning-stats.being-study,Изучаемые: {0},Currently studying: {0},Wird studiert: {0},Estudiando: {0},학습 중: {0},En cours d'étude : {0},Estudando: {0},学習中: {0},In studio: {0},正在学习： {0},กำลังศึกษา: {0},Sedang dipelajari: {0}
b02a36a9-519f-43ea-8d46-4d0869ce6145,ui.achievements.learning-stats.repeatable,Повторяемые: {0},Repeatable: {0},Wiederholbar: {0},Repetible: {0},반복 가능: {0},Répétable : {0},Repetível: {0},繰り返し可能: {0},Ripetibile: {0},可重复： {0},ทำซ้ำได้: {0},Dapat diulang: {0}
932a49b8-fba8-499d-a965-33a9268bc96c,ui.achievements.learning-stats.studied,Изучено: {0},Studied: {0},Studiert: {0},Estudiado: {0},학습 완료: {0},Étudié : {0},Estudado: {0},学習済み: {0},Studiato: {0},已学习： {0},ศึกษาแล้ว: {0},Telah dipelajari: {0}
ab7b4eef-985b-44f7-81c6-95bf4df7983c,ui.achievements.learning-stats.all,Все:,All:,Alle:,Todo:,모두:,Tous:,Todos:,全て：,Tutto:,全部：,ทั้งหมด:,Semua:
c464486c-5309-4d45-be53-18a1ad7c6678,ui.achievements.learning-stats.button.share-result,Поделиться резельтатом,Share the result,Teilen Sie das Ergebnis,Comparte el resultado,결과를 공유하세요,Partagez le résultat,Compartilhe o resultado,結果を共有する,Condividi il risultato,分享结果,แบ่งปันผลลัพธ์,Bagikan hasilnya
31f5ff5f-152f-494c-9903-bc155b48a8b8,ui.achievements.learning-stats.title,Достижения,Achievements,Erfolge,Logros,업적,Réalisations,Conquistas,実績,Risultati,成就,ความสำเร็จ,Prestasi
