GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
90bc0e28-2682-48c4-88d4-353fcd595007,ui.generation.title,Генерация,Generation,Generation,Generación,세대,Génération,Geração,世代,Generazione,一代,รุ่น,Generasi
b268645e-4bea-44cd-bdb1-f74ba4575787,ui.generation.saved-generations,"Сохраненные
 предложения и тексты",Saved sentences and texts,Gespeicherte Sätze und Texte,Frases y textos guardados,저장된 문장과 텍스트,Phrases et textes enregistrés,Frases e textos salvos,保存された文章とテキスト,Frasi e testi salvati,保存的句子和文本,ประโยคและข้อความที่บันทึกไว้,Kalimat dan teks yang disimpan
694d470a-4ff8-41ab-ade6-62f67d1d4265,ui.generation.set-%-new,Настрой % новых слов,Setting % of new words,Festlegen des Prozentsatzes neuer Wörter,Establecer % de palabras nuevas,새 단어의 % 설정,Définition du % de nouveaux mots,Definindo % de novas palavras,新しい単語の割合を設定する,Impostazione % di nuove parole,设置新词百分比,การตั้งค่า % ของคำใหม่,Menetapkan % kata baru
895a2422-6d54-4d2d-b9e3-06f9f85cebcc,ui.generation.translate-from,Переводить предложения с,Translate sentences from,Übersetzen Sie Sätze aus,Traducir oraciones de,문장을 번역하세요,Traduire des phrases de,Traduzir frases de,文章を翻訳する,Traduci frasi da,翻译句子,แปลประโยคจาก,Terjemahkan kalimat dari
3eabd53a-5c99-4c7e-b767-423da2215ab2,ui.generation.mark-unfamiliar,Отмечать незнакомые слова,Mark unfamiliar words,Unbekannte Wörter markieren,Marcar palabras desconocidas,익숙하지 않은 단어를 표시하세요,Marquer les mots inconnus,Marque palavras desconhecidas,知らない単語をマークする,Contrassegna le parole non familiari,标记不熟悉的单词,ทำเครื่องหมายคำที่ไม่คุ้นเคย,Tandai kata-kata yang tidak dikenal
5d536487-ee0a-4d67-8eab-ca68295753f5,ui.generation.generate,Генерировать,Generate,Erzeugen,Generar,생성하다,Générer,Gerar,生成する,Generare,产生,สร้าง,Menghasilkan
bd439ae0-f574-46f8-bc03-3574cdeb9f60,ui.generation.chat-with-bot,Чат с ботом,Chat with a bot,Chatten Sie mit einem Bot,Chatea con un bot,봇과 채팅,Discuter avec un bot,Converse com um bot,ボットとチャット,Chatta con un bot,与机器人聊天,แชทกับบอท,Ngobrol dengan bot
b530c55a-e749-4b18-9fb3-feb8a6a9312e,ui.generation.open,Открыть,Open,Offen,Abierto,열려 있는,Ouvrir,Abrir,開ける,Aprire,打开,เปิด,Membuka
27fed3ce-81ff-4c4c-8466-1a4f57d3bb5f,ui.generation.enter-something,Напиши что-нибудь,Write something,Schreib etwas,Escribe algo,뭔가를 쓰세요,Écris quelque chose,Escreva alguma coisa,何か書いてください,Scrivi qualcosa,写点东西,เขียนอะไรบางอย่าง,Tulis sesuatu
6532b9eb-d6c3-4882-9da6-f0dc4f82a548,ui.generation.change-settings,Изменить настройки,Change settings,Einstellungen ändern,Cambiar la configuración,설정 변경,Modifier les paramètres,Alterar configurações,設定を変更する,Cambia impostazioni,更改设置,การเปลี่ยนแปลงการตั้งค่า,Ubah pengaturan
0f44e341-e787-4c2b-8f83-92c92c020941,ui.generation.current-settings,Текущие настройки:,Current settings:,Aktuelle Einstellungen:,Configuración actual:,현재 설정:,Paramètres actuels :,Configurações atuais:,現在の設定:,Impostazioni attuali:,当前设置：,การตั้งค่าปัจจุบัน:,Pengaturan saat ini:
8d04dd8e-5889-4fd7-9d1f-a783c9ab9a76,ui.generation.new-words-percent,В упражнениях {0}% новых слов,The exercises contain {0}% new words,Die Übungen enthalten {0} % neue Wörter,Los ejercicios contienen {0}% de palabras nuevas,연습문제에는 {0}%개의 새로운 단어가 포함되어 있습니다.,Les exercices contiennent {0}% de nouveaux mots,Os exercícios contêm {0}% de palavras novas,練習問題には{0}%の新しい単語が含まれています,Gli esercizi contengono {0}% nuove parole,练习包含 {0}% 个新单词,แบบฝึกหัดประกอบด้วยคำศัพท์ใหม่ {0}%,Latihan ini mengandung {0}% kata baru
e8335280-2dc7-44a7-87ab-fcc9d1df6fd8,ui.generation.show-on-language,Задания отображаются на {0},Tasks are displayed on {0},Aufgaben werden auf {0} angezeigt,Las tareas se muestran en {0},작업은 {0}에 표시됩니다.,Les tâches sont affichées sur {0},As tarefas são exibidas em {0},タスクは{0}に表示されます,Le attività vengono visualizzate su {0},任务显示在{0},งานจะแสดงบน {0},Tugas ditampilkan di {0}
79e03276-ba63-48e1-b790-b83498ef924d,ui.generation.is-highlighted,Новые слова {0},New words {0},Neue Wörter {0},Nuevas palabras {0},새로운 단어 {0},Nouveaux mots {0},Novas palavras {0},新しい単語 {0},Nuove parole {0},新词 {0},คำศัพท์ใหม่ {0},Kata-kata baru {0}
77724326-70be-4840-bac6-42fec57cec65,ui.generation.highlighted,подчеркиваются,are emphasized,werden betont,se enfatizan,강조된다,sont soulignés,são enfatizados,強調されている,sono enfatizzati,被强调,มีการเน้นย้ำ,ditekankan
c5e1047a-65b5-468d-b4d0-89daf159580f,ui.generation.not-highlighted,не подчеркиваются,are not emphasized,werden nicht betont,no se enfatizan,강조되지 않는다,ne sont pas soulignés,não são enfatizados,強調されていない,non sono enfatizzati,没有被强调,ไม่เน้นย้ำ,tidak ditekankan
1e384874-4694-4f0c-9c77-378ef0ac3c30,ui.generation-settings.title,Настройки генерации,Generation settings,Generierungseinstellungen,Configuración de generación,생성 설정,Paramètres de génération,Configurações de geração,生成設定,Impostazioni di generazione,生成设置,การตั้งค่ารุ่น,Pengaturan pembangkitan
47be6bdc-e2b9-43fb-b256-a7075c42536f,ui.sentences.sentences,Предложения,Sentences,Sätze,Oraciones,문장,Phrases,Frases,文章,Frasi,句子,ประโยค,Kalimat
f5d35435-7e97-4075-b8c7-699dbba60c6f,ui.generation.texts,Тексты,Texts,Texte,Textos,텍스트,Textes,Textos,テキスト,Testi,文本,ข้อความ,Teks
f33aeb14-96c3-4b58-b95b-371e3662d166,ui.generation.read-more,Читать полностью,Read in full,Vollständig lesen,Leer completo,전체를 읽어보세요,Lire en entier,Leia na íntegra,全文を読む,Leggi tutto,阅读全文,อ่านเต็มๆ,Baca selengkapnya
39d53bf0-253d-4d14-9037-8913afb0425d,ui.generation.find-sentence,Найти предложение,Find sentence,Satz finden,Buscar oración,문장 찾기,Trouver une phrase,Encontrar frase,文章を探す,Trova frase,查找句子,ค้นหาประโยค,Temukan kalimat
5a441b28-f46c-4ee5-9cc7-9d51f3c01cf0,ui.generation.find-text,Найти текст,Find text,Text suchen,Buscar texto,텍스트 찾기,Rechercher du texte,Encontrar texto,テキストを検索,Trova testo,查找文本,ค้นหาข้อความ,Temukan teks
ed5d5ad0-1075-4226-bf07-997fb58b4827,ui.generation.check,Проверить,Check,Überprüfen,Controlar,확인하다,Vérifier,Verificar,チェック,Controllo,查看,ตรวจสอบ,Memeriksa
