,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.disctionary.category-search,Поиск категории,Search category,Suchkategorie,Categoría de búsqueda,카테고리 검색,Catégorie de recherche,Pesquisar categoria,検索カテゴリ,Cerca categoria,搜索类别,ค้นหาหมวดหมู่,Kategori pencarian
ui.disctionary.title,Каталог категорий,Category Catalog,Kategoriekatalog,Catálogo de categorías,카테고리 카탈로그,Catalogue des catégories,Catálogo de categorias,カテゴリカタログ,Catalogo delle categorie,类别目录,แคตตาล็อกหมวดหมู่,Katalog Kategori
ui.disctionary.category-name-imagine-dragons,Слова из песен Imagen Dragons,Lyrics from Imagen Dragons songs,Songtexte aus den Liedern von Imagen Dragons,Letras de las canciones de Imagen Dragons,Imagen Dragons 노래 가사,Paroles des chansons d'Imagen Dragons,Letras de músicas do Imagen Dragons,イマジン・ドラゴンズの歌詞,Testi delle canzoni degli Imagen Dragons,Imagen Dragons 歌曲的歌词,เนื้อเพลงจากเพลงของ Imagen Dragons,Lirik dari lagu-lagu Imagen Dragons
ui.disctionary.category-progress,{0} слов - {1}%,{0} words - {1}%,{0} Wörter - {1} %,{0} palabras - {1}%,{0} 단어 - {1}%,{0} mots - {1}%,{0} palavras - {1}%,{0} 語 - {1}%,{0} parole - {1}%,{0} 个字 - {1}%,{0} คำ - {1}%,{0} kata - {1}%
ui.disctionary.create-category,Создать категорию,Create category,Kategorie erstellen,Crear categoría,카테고리 만들기,Créer une catégorie,Criar categoria,カテゴリを作成,Crea categoria,创建类别,สร้างหมวดหมู่,Buat kategori
ui.disctionary.add-category,Добавить категорию,Add category,Kategorie hinzufügen,Añadir categoría,카테고리 추가,Ajouter une catégorie,Adicionar categoria,カテゴリを追加,Aggiungi categoria,添加类别,เพิ่มหมวดหมู่,Tambahkan kategori
ui.disctionary.selected,Выбранные категории,Selected categories,Ausgewählte Kategorien,Categorías seleccionadas,선택된 카테고리,Catégories sélectionnées,Categorias selecionadas,選択したカテゴリ,Categorie selezionate,选定类别,หมวดหมู่ที่เลือก,Kategori terpilih
ui.disctionary.created,Созданные категории,Created categories,Erstellte Kategorien,Categorías creadas,카테고리 생성됨,Catégories créées,Categorias criadas,作成されたカテゴリ,Categorie create,创建类别,สร้างหมวดหมู่,Kategori yang dibuat
ui.disctionary.default,Категории,Categories,Kategorien,Categorías,카테고리,Catégories,Categorias,カテゴリー,Categorie,类别,หมวดหมู่,Kategori
ui.disctionary.load-category,Загрузить категорию,Load category,Belastungskategorie,Categoría de carga,부하 범주,Catégorie de charge,Categoria de carga,負荷カテゴリ,Categoria di carico,负载类别,โหลดหมวดหมู่,Kategori beban
