,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.category.category-search,Поиск категории,Search category,Suchkategorie,Categoría de búsqueda,카테고리 검색,Catégorie de recherche,Pesquisar categoria,検索カテゴリ,Cerca categoria,搜索类别,ค้นหาหมวดหมู่,Kategori pencarian
ui.category.title,Каталог категорий,Category catalog,Kategorienkatalog,Catálogo de categorías,카테고리 카탈로그,Catalogue de catégories,Catálogo de categorias,カテゴリカタログ,Catalogo delle categorie,类别目录,แคตตาล็อกหมวดหมู่,Katalog kategori
ui.category.category-name-imagine-dragons,Слова из песен Imagen Dragons,Lyrics from Imagen Dragons songs,Songtexte aus den Liedern von Imagen Dragons,Letras de las canciones de Imagen Dragons,Imagen Dragons 노래 가사,Paroles des chansons d'Imagen Dragons,Letras de músicas do Imagen Dragons,イマジェン・ドラゴンズの歌詞,Testi delle canzoni degli Imagen Dragons,Imagen Dragons 歌曲的歌词,เนื้อเพลงจากเพลงของ Imagen Dragons,Lirik dari lagu-lagu Imagen Dragons
ui.category.category-progress,{0} слов - {1}%,{0} words - {1}%,{0} Wörter - {1} %,{0} palabras - {1}%,{0} 단어 - {1}%,{0} mots - {1}%,{0} palavras - {1}%,{0} 語 - {1}%,{0} parole - {1}%,{0} 个字 - {1}%,{0} คำ - {1}%,{0} kata - {1}%
ui.category.create-category,Создать категорию,Create a category,Erstellen einer Kategorie,Crear una categoría,카테고리 만들기,Créer une catégorie,Criar uma categoria,カテゴリーを作成する,Crea una categoria,创建类别,สร้างหมวดหมู่,Buat kategori
ui.category.add-category,Добавить категорию,Add category,Kategorie hinzufügen,Añadir categoría,카테고리 추가,Ajouter une catégorie,Adicionar categoria,カテゴリを追加,Aggiungi categoria,添加类别,เพิ่มหมวดหมู่,Tambahkan kategori
ui.category.selected,Выбранные категории,Selected categories,Ausgewählte Kategorien,Categorías seleccionadas,선택된 카테고리,Catégories sélectionnées,Categorias selecionadas,選択したカテゴリ,Categorie selezionate,选定类别,หมวดหมู่ที่เลือก,Kategori terpilih
ui.category.created,Созданные категории,Created categories,Erstellte Kategorien,Categorías creadas,카테고리 생성됨,Catégories créées,Categorias criadas,作成されたカテゴリ,Categorie create,创建类别,สร้างหมวดหมู่,Kategori yang dibuat
ui.category.default,Категории,Categories,Kategorien,Categorías,카테고리,Catégories,Categorias,カテゴリー,Categorie,类别,หมวดหมู่,Kategori
ui.category.load-category,Загрузить категорию,Load category,Belastungskategorie,Categoría de carga,부하 범주,Catégorie de charge,Categoria de carga,負荷カテゴリ,Categoria di carico,负载类别,โหลดหมวดหมู่,Kategori beban
ui.category.select-icon,Выберите иконку,Select an icon,Wählen Sie ein Symbol,Seleccione un icono,아이콘을 선택하세요,Sélectionnez une icône,Selecione um ícone,アイコンを選択,Seleziona un'icona,选择一个图标,เลือกไอคอน,Pilih ikon
ui.category.enter-category-name,Введите название категории,Enter the category name,Geben Sie den Kategorienamen ein,Introduzca el nombre de la categoría,카테고리 이름을 입력하세요,Entrez le nom de la catégorie,Digite o nome da categoria,カテゴリ名を入力してください,Inserisci il nome della categoria,输入类别名称,กรอกชื่อหมวดหมู่,Masukkan nama kategori
ui.category.category-name,Название категории,Category name,Kategoriename,Nombre de la categoría,카테고리 이름,Nom de la catégorie,Nome da categoria,カテゴリ名,Nome della categoria,类别名称,ชื่อหมวดหมู่,Nama kategori
ui.category.save-category,Сохранить категорию,Save category,Kategorie speichern,Guardar categoría,카테고리 저장,Enregistrer la catégorie,Salvar categoria,カテゴリを保存,Salva categoria,保存类别,บันทึกหมวดหมู่,Simpan kategori
ui.category.load-words,Загрузить слова,Load words,Wörter laden,Cargar palabras,단어 로드,Charger des mots,Carregar palavras,単語を読み込む,Carica parole,加载单词,โหลดคำ,Muat kata-kata
