,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.onboarding.continue,Продолжить,Continue,Weitermachen,Continuar,계속하다,Continuer,Continuar,続く,Continuare,继续,ดำเนินการต่อ,Melanjutkan
ui.onboarding.elementary,Начальный,Elementary,Grundschule,Elemental,초등학교,Élémentaire,Elementar,初級,Elementare,初级,ระดับประถมศึกษา,Dasar
ui.onboarding.beginner,Базовый,Base,Base,Base,베이스,Base,Base,ベース,Base,根据,ฐาน,Basis
ui.onboarding.Intermediate,Начальный средний,Beginner intermediate,Anfänger Mittelstufe,Principiante intermedio,초급 중급,Débutant intermédiaire,Iniciante intermediário,初級・中級,Principiante intermedio,初级中级,ระดับเริ่มต้น ระดับกลาง,Pemula menengah
ui.onboarding.upper-Intermediate,Средний,Average,Durchschnitt,Promedio,평균,Moyenne,Média,平均,Media,平均的,เฉลี่ย,Rata-rata
ui.onboarding.advanced,Продвинутый,Advanced,Fortschrittlich,Avanzado,고급의,Avancé,Avançado,高度な,Avanzato,先进的,ขั้นสูง,Canggih
ui.onboarding.what-is-your-name,Как тебя зовут?,What is your name?,Wie heißt du?,¿Cómo te llamas?,이름이 뭐에요?,Quel est ton nom?,Qual o seu nome?,あなたの名前は何ですか？,Come ti chiami?,你叫什么名字？,คุณชื่ออะไร,Siapa namamu?
ui.onboarding.select-languages,Выбери языки,Select languages,Sprachen auswählen,Seleccionar idiomas,언어 선택,Sélectionner les langues,Selecione os idiomas,言語を選択,Seleziona le lingue,选择语言,เลือกภาษา,Pilih bahasa
ui.onboarding.choose-your-level,Выберите свой уровень,Choose your level,Wählen Sie Ihr Niveau,Elige tu nivel,레벨을 선택하세요,Choisissez votre niveau,Escolha seu nível,レベルを選択してください,Scegli il tuo livello,选择您的级别,เลือกระดับของคุณ,Pilih level Anda
ui.onboarding.how-many-words,Сколько слов в день ты хочешь учить?,How many words a day do you want to learn?,Wie viele Wörter möchten Sie pro Tag lernen?,¿Cuántas palabras al día quieres aprender?,하루에 몇 개의 단어를 배우고 싶으신가요?,Combien de mots par jour souhaitez-vous apprendre ?,Quantas palavras por dia você quer aprender?,1日に何語学びたいですか?,Quante parole al giorno vuoi imparare?,你每天想学多少个单词？,คุณอยากเรียนคำศัพท์กี่คำต่อวัน?,Berapa banyak kata yang ingin Anda pelajari setiap hari?
