GUID,Key,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
d73cb4d6-6d56-4001-a99d-c4e624b78ff8,ui.settings.full-access,Полный доступ,Full access,Vollzugriff,Acceso completo,전체 액세스,Accès complet,Acesso total,フルアクセス,Accesso completo,完全访问权限,การเข้าถึงแบบเต็ม,Akses penuh
05bcd2e9-85a2-4b7f-ba5c-e5f04f00fc23,ui.settings.motivation,Получить неограниченый доступ сейчас,Get unlimited access now,Jetzt unbegrenzten Zugriff sichern,Obtenga acceso ilimitado ahora,지금 무제한 액세스를 받으세요,Obtenez un accès illimité maintenant,Obtenha acesso ilimitado agora,今すぐ無制限アクセスを取得,Ottieni subito l'accesso illimitato,立即获得无限制访问权限,รับสิทธิ์เข้าถึงแบบไม่จำกัดทันที,Dapatkan akses tak terbatas sekarang
5bf1b484-f171-4dc1-a30e-cde54cd599c0,ui.settings.awards,Награды,Awards,Auszeichnungen,Premios,수상,Récompenses,Prêmios,受賞歴,Premi,奖项,รางวัล,Penghargaan
d829e266-b350-45e2-8382-4b2a908c379d,ui.settings.title,Настройки,Settings,Einstellungen,Ajustes,설정,Paramètres,Configurações,設定,Impostazioni,设置,การตั้งค่า,Pengaturan
281be199-bf26-496b-bc3b-32d3af934174,ui.settings.other-languages,Другие языки,Other languages,Weitere Sprachen,Otros idiomas,다른 언어들,Autres langues,Outras línguas,その他の言語,Altre lingue,其他语言,ภาษาอื่นๆ,Bahasa lainnya
e046c975-0a83-437d-b326-13ddcd76ea85,ui.settings.backup-copy,Резеврная копия,Backup copy,Sicherungskopie,Copia de reserva,백업 사본,Copie de sauvegarde,Cópia de segurança,バックアップコピー,Copia di backup,备份副本,สำเนาสำรอง,Salinan cadangan
7ca2c279-ccb6-40f5-84ff-8a2997c9cd65,ui.settings.rating,Рейтинг,Rating,Bewertung,Clasificación,평가,Notation,Avaliação,評価,Valutazione,等级,การจัดอันดับ,Peringkat
f27aef88-a04d-43c5-9c53-f72d795048ae,ui.settings.share,Поделиться,Share,Aktie,Compartir,공유하다,Partager,Compartilhar,共有,Condividere,分享,แบ่งปัน,Membagikan
52672ec6-96d6-4adc-a7c8-674040ac63ca,ui.settings.support,Поддержка,Support,Unterstützung,Apoyo,지원하다,Soutien,Apoiar,サポート,Supporto,支持,สนับสนุน,Mendukung
cb6eea26-a35c-4e8f-b514-d482e72d0ccd,ui.settings.about-the-application,О приложении,About the app,Über die App,Acerca de la aplicación,앱에 대하여,À propos de l'application,Sobre o aplicativo,アプリについて,Informazioni sull'app,关于应用程序,เกี่ยวกับแอป,Tentang aplikasi
f610d7b4-7d8f-4485-90b9-da31518da54c,ui.settings.logout,Выйти из аккаунта,Log out of your account,Melden Sie sich von Ihrem Konto ab,Cerrar sesión en su cuenta,계정에서 로그아웃하세요,Déconnectez-vous de votre compte,Sair da sua conta,アカウントからログアウトする,Esci dal tuo account,退出您的帐户,ออกจากระบบบัญชีของคุณ,Keluar dari akun Anda
