,Russian,English,German,Spanish,Korean,French,Portuguese,Japanese,Italian,Chinese,Thai,Indonesian
ui.learning-words.welcome,"Привет, {0}!","Hello, {0}!","Hallo, {0}!","Hola, {0}!","안녕하세요, {0}!","Bonjour, {0}!","Olá, {0}!",こんにちは、{0}さん！,"Ciao, {0}!",你好，{0}！,สวัสดี {0}!,"Halo, {0}!"
ui.learning-words.best-progress,Крутой прогресс!,Great progress!,Großartige Fortschritte!,¡Gran progreso!,큰 진전이에요!,De grands progrès !,Grande progresso!,素晴らしい進歩です！,Grandi progressi!,进步很大！,มีความก้าวหน้าอย่างมาก!,Kemajuan yang luar biasa!
ui.learning-words.all-categories,Все категории,All categories,Alle Kategorien,Todas las categorías,모든 카테고리,Toutes les catégories,Todas as categorias,すべてのカテゴリー,Tutte le categorie,所有类别,หมวดหมู่ทั้งหมด,Semua kategori
ui.learning-words.your-achievements,Ваши достижения,Your achievements,Ihre Erfolge,Tus logros,당신의 업적,Vos réalisations,Suas conquistas,あなたの業績,I tuoi successi,你的成就,ความสำเร็จของคุณ,Prestasi Anda
ui.learning-words.category-name-imagine-dragons,"Из песен
Imagen Dragons","From the songs
Imagen Dragons","Aus den Liedern
Imagen Dragons","De las canciones
Imagen Dragons","노래
Imagen Dragons에서","Extrait des chansons
Imagen Dragons","Das músicas
Imagen Dragons","歌より
イマジェン・ドラゴンズ","Dalle canzoni
Imagen Dragons",摘自歌曲《Imagen Dragons》,"จากเพลง
Imagen Dragons","Dari lagu
Imagen Dragons"
ui.learning-words.create-text.ai,"Используй новые слова в контексте вместе
с нейросетью",Use new words in context with neural network,Neue Wörter im Kontext mit neuronalem Netzwerk verwenden,Utilice nuevas palabras en contexto con la red neuronal,신경망을 사용하여 맥락에 맞는 새로운 단어를 사용하세요,Utiliser de nouveaux mots dans le contexte du réseau neuronal,Use novas palavras em contexto com rede neural,ニューラルネットワークを使って新しい単語を文脈に沿って使う,Usa nuove parole nel contesto con la rete neurale,通过神经网络在上下文中使用新词汇,ใช้คำศัพท์ใหม่ในบริบทของเครือข่ายประสาท,Gunakan kata-kata baru dalam konteks dengan jaringan saraf
ui.learning-words.progress.goal,Цель:,Target:,Ziel:,Objetivo:,목표:,Cible:,Alvo:,ターゲット：,Bersaglio:,目标：,เป้า:,Target:
ui.learning-words.progress.goal-description,"Вы выучили {0} слов сегодня, больше, чем {1}% участников","You learned {0} words today, more than {1}% of participants","Sie haben heute {0} Wörter gelernt, mehr als {1} % der Teilnehmer","Aprendiste {0} palabras hoy, más del {1}% de los participantes",오늘 {0}개의 단어를 배웠습니다. 참가자의 {1}% 이상,"Vous avez appris {0} mots aujourd'hui, soit plus de {1} % des participants","Você aprendeu {0} palavras hoje, mais de {1}% dos participantes",今日は参加者の{1}%以上が{0}語を学習しました,"Hai imparato {0} parole oggi, più del {1}% dei partecipanti",您今天学习了 {0} 个单词，比 {1}% 的参与者多,วันนี้คุณเรียนรู้คำศัพท์ {0} คำ มากกว่า {1}% ของผู้เข้าร่วม,"Anda mempelajari {0} kata hari ini, lebih dari {1}% peserta"
ui.learning-words.word-learning.words-goal,Выучите {0} новых слов,Learn {0} new words,Lerne {0} neue Wörter,Aprende {0} palabras nuevas,새로운 단어 {0}개를 배우세요,Apprenez {0} nouveaux mots,Aprenda {0} novas palavras,新しい単語を{0}個学ぶ,Impara {0} nuove parole,学习{0}个新单词,เรียนรู้คำศัพท์ใหม่ {0} คำ,Pelajari {0} kata baru
ui.learning-words.word-learning.repeat-words-amount,{0} слов доступны для повторения,{0} words available for repetition,{0} Wörter zur Wiederholung verfügbar,{0} palabras disponibles para repetición,반복 가능한 단어가 {0}개 있습니다.,{0} mots disponibles pour la répétition,{0} palavras disponíveis para repetição,繰り返し可能な単語は{0}個あります,{0} parole disponibili per la ripetizione,{0} 个单词可重复,มีคำที่สามารถทำซ้ำได้ {0} คำ,{0} kata tersedia untuk pengulangan
ui.learning-words.word-learning.button.start-practice,Начать практику,Start practicing,Beginnen Sie mit dem Üben,Empieza a practicar,연습을 시작하세요,Commencez à pratiquer,Comece a praticar,練習を始めましょう,Inizia a praticare,开始练习,เริ่มฝึกซ้อม,Mulai berlatih
ui.learning-words.word-learning.button.create-text,Создать текст,Create text,Text erstellen,Crear texto,텍스트 생성,Créer du texte,Criar texto,テキストを作成する,Crea testo,创建文本,สร้างข้อความ,Membuat teks
