Word.Learning,Word.Natives,Transcription,CategoryIds,Examples.Native,Examples.Learning,TranslationVariants.Native,TranslationVariants.Learning,Synonyms.Learning,Synonyms.Natives,Grammar.Note,Grammar.Native,Grammar.Learning
sí,yes;yeah,/si/,-1,,,claro;por supuesto,sure;of course,,,,,
no,no;nope,/no/,-1,"No, thank you;I don't think so","No, gracias;No creo",,jamás,never,,,,
bueno,good;well;okay,/ˈbweno/,-1,That's good;Well then,Está bueno;Bueno entonces,Fine;Alright,Bien;De acuerdo,,,adjective;interjection,Good,Bueno
malo,bad;evil,/ˈmalo/,-1,That's bad;This is wrong,Está malo;Esto está mal,Wrong;Terrible,Malo;Terrible,,,adjective,Bad,Malo
grande,big;large;great,/ˈɡɾande/,-1,The house is big;Great job,La casa es grande;Gran trabajo,Huge;Enormous,Enorme;Gigante,enorme;gigante,huge;enormous,adjective,Big,Grande
pequeño,small;little;tiny,/peˈkeɲo/,-1,A small dog;Little house,Un perro pequeño;Casa pequeña,Tiny;Mini,Diminuto;Mini,diminuto;chico,tiny;small,adjective,Small,Pequeño
bonito,beautiful;pretty;nice,/boˈnito/,-1,What a beautiful day;Pretty dress,Qué día tan bonito;Vestido bonito,Lovely;Gorgeous,Hermoso;Precioso,,,adjective,Beautiful,Bonito
feo,ugly;unpleasant,/ˈfeo/,-1,That's ugly;Unpleasant weather,Está feo;Clima desagradable,,horrible;desagradable,horrible;unpleasant,adjective,Ugly,Feo,
nuevo,new;recent,/ˈnweβo/,-1,New car;Recent news,Coche nuevo;Noticias recientes,Fresh;Recent,Fresco;Reciente,,,adjective,New,Nuevo
viejo,old;ancient,/ˈbjeχo/,-1,Old man;Ancient building,Hombre viejo;Edificio antiguo,Ancient;Elderly,Antiguo;Mayor,antiguo;añejo,ancient;aged,adjective,Old,Viejo
comer,eat;consume,/koˈmer/,-2,I want to eat;Let's eat dinner,Quiero comer;Vamos a cenar,Consume;Devour,Consumir;Devorar,alimentarse;nutrirse,feed;nourish,verb;infinitive,To eat,Comer
beber,drink;consume liquids,/beˈβer/,-2,I need to drink water;Let's drink,Necesito beber agua;Vamos a beber,Sip;Gulp,Sorber;Tragar,,,verb;infinitive,To drink,Beber
dormir,sleep;rest,/dorˈmir/,-2,I want to sleep;Time to rest,Quiero dormir;Hora de descansar,Rest;Slumber,Descansar;Reposar,descansar;reposar,rest;repose,verb;infinitive,To sleep,Dormir
caminar,walk;stroll,/kamiˈnar/,-2,Let's walk in the park;I like to walk,Caminemos por el parque;Me gusta caminar,Stroll;March,Pasear;Marchar,,,verb;infinitive,To walk,Caminar
correr,run;jog,/koˈrer/,-2,I run every morning;Let's run,Corro cada mañana;Vamos a correr,Jog;Sprint,Trotar;Esprintar,trotar;galopar,jog;gallop,verb;infinitive,To run,Correr
hablar,speak;talk,/aˈβlar/,-2,I speak Spanish;Let's talk,Hablo español;Vamos a hablar,Talk;Chat,Conversar;Charlar,conversar;platicar,converse;chat,verb;infinitive,To speak,Hablar
escuchar,listen;hear,/eskuˈtʃar/,-2,Listen to music;I can't hear,Escuchar música;No puedo oír,Hear;Pay attention,Oír;Prestar atención,,,verb;infinitive,To listen,Escuchar
ver,see;watch;look,/ber/,-2,I can see the mountain;Let's watch TV,Puedo ver la montaña;Veamos TV,Watch;Observe,Mirar;Observar,mirar;observar,look;observe,verb;infinitive,To see,Ver
leer,read;study,/leˈer/,-2,I like to read books;Read this,Me gusta leer libros;Lee esto,Study;Review,Estudiar;Repasar,,,verb;infinitive,To read,Leer
escribir,write;compose,/eskɾiˈβir/,-2,Write a letter;I'm writing,Escribir una carta;Estoy escribiendo,Compose;Draft,Redactar;Componer,,,verb;infinitive,To write,Escribir
trabajar,work;labor,/tɾaβaˈχar/,-2,I work at home;Hard work,Trabajo en casa;Trabajo duro,Labor;Toil,Laborar;Esforzarse,laborar;emplearse,labor;be employed,verb;infinitive,To work,Trabajar
estudiar,study;learn,/estuˈðjar/,-2,Study for the exam;I'm learning,Estudiar para el examen;Estoy aprendiendo,Learn;Review,Aprender;Repasar,,,verb;infinitive,To study,Estudiar
jugar,play;game,/χuˈɣar/,-2,Let's play soccer;Children play,Juguemos fútbol;Los niños juegan,Game;Sport,Deportar;Recrearse,,,verb;infinitive,To play,Jugar
casa,house;home,/ˈkasa/,-3,My house is big;Welcome home,Mi casa es grande;Bienvenido a casa,Home;Residence,Hogar;Residencia,hogar;vivienda,home;dwelling,noun;feminine,House,Casa
escuela,school;academy,/esˈkwela/,-3,I go to school;Private school,Voy a la escuela;Escuela privada,Academy;Institution,Academia;Institución,,,noun;feminine,School,Escuela
trabajo,work;job;office,/tɾaˈβaχo/,-3,I'm at work;Looking for a job,Estoy en el trabajo;Busco empleo,Job;Employment,Empleo;Trabajo,empleo;ocupación,job;occupation,noun;masculine,Work,Trabajo
hospital,hospital;clinic,/ospiˈtal/,-3,He's in the hospital;Medical center,Está en el hospital;Centro médico,Clinic;Medical center,Clínica;Centro médico,,,noun;masculine,Hospital,Hospital
tienda,store;shop,/ˈtjenda/,-3,Go to the store;Small shop,Ir a la tienda;Tienda pequeña,Shop;Market,Comercio;Mercado,comercio;negocio,business;shop,noun;feminine,Store,Tienda
restaurante,restaurant;diner,/restawˈɾante/,-3,Eat at the restaurant;Good restaurant,Comer en el restaurante;Buen restaurante,Diner;Eatery,Comedor;Restaurante,,,noun;masculine,Restaurant,Restaurante
banco,bank;bench,/ˈbanko/,-3,Go to the bank;Sit on the bench,Ir al banco;Sentarse en el banco,Financial institution;Seat,Institución financiera;Asiento,,,noun;masculine,Bank,Banco
